timestep,reward,source
6144,-1815.919677734375,train
6144,-2180.57373046875,train
6144,-2338.903564453125,train
6144,-1322.505615234375,train
6144,-981.2520751953125,train
6144,-1694.31494140625,train
6144,-1028.3634033203125,train
6144,-1539.49169921875,train
6144,-1160.3426513671875,train
6144,-1414.9398193359375,train
6144,-1697.6328125,train
6144,-2154.58642578125,train
6144,-1431.9500732421875,train
6144,-1595.9119873046875,train
6144,-1493.3370361328125,train
6144,-2532.591064453125,train
6144,-1122.0841064453125,train
6144,-2347.13818359375,train
6144,-1419.4234619140625,train
6144,-2049.80419921875,train
6160,-2228.695556640625,train
6160,-3745.842529296875,eval
6400,-3447.261474609375,train
6400,-2228.695556640625,eval
6640,-3987.232666015625,train
6640,-3447.261474609375,eval
6656,-2123.880859375,train
6656,-2555.78369140625,train
6656,-1830.6097412109375,train
6656,-1338.1541748046875,train
6656,-1186.599853515625,train
6656,-1472.2685546875,train
6656,-887.5239868164062,train
6656,-3213.1826171875,train
6656,-1440.5589599609375,train
6656,-1332.5760498046875,train
6656,-1203.54052734375,train
6656,-1596.4559326171875,train
6656,-2350.939208984375,train
6656,-2399.213623046875,train
6656,-970.4036865234375,train
6656,-1728.3209228515625,train
6656,-1612.1929931640625,train
6656,-946.4523315429688,train
6656,-1434.8782958984375,train
6656,-934.153564453125,train
6656,-1431.4776611328125,train
6656,-2370.26708984375,train
6656,-1615.1148681640625,train
6656,-2841.4541015625,train
6656,-765.7470703125,train
6656,-1513.6383056640625,train
6656,-1768.98828125,train
6656,-1758.2996826171875,train
6656,-4601.455078125,train
6656,-1807.388671875,train
6656,-1694.31494140625,train
6656,-2088.615966796875,train
6656,-2194.160400390625,train
6656,-2354.720458984375,train
6656,-97.80455780029297,train
6656,-1391.5313720703125,train
6656,-1827.00439453125,train
6656,-2078.286865234375,train
6656,-2824.752197265625,train
6656,-1156.4298095703125,train
6880,-3867.201416015625,train
6880,-3987.232666015625,eval
7120,-2639.9326171875,train
7120,-3867.201416015625,eval
7168,-1334.8052978515625,train
7168,-1434.5860595703125,train
7168,-2149.5361328125,train
7168,-833.270263671875,train
7168,-2353.3330078125,train
7168,-1519.520751953125,train
7168,-2399.169189453125,train
7168,-2828.688720703125,train
7168,-1705.68408203125,train
7168,-1579.867431640625,train
7168,-2396.55029296875,train
7168,-952.5963745117188,train
7168,-2084.972412109375,train
7168,-2053.9345703125,train
7168,-1013.2944946289062,train
7168,-1026.0933837890625,train
7168,-1210.113037109375,train
7168,-1385.541748046875,train
7168,-1762.310791015625,train
7168,-2850.5673828125,train
7168,-1218.1588134765625,train
7168,-2555.5322265625,train
7168,-1767.022705078125,train
7168,-1629.7506103515625,train
7168,-1756.274658203125,train
7168,-1403.74267578125,train
7168,-1176.9207763671875,train
7168,-1830.6097412109375,train
7168,-4545.97412109375,train
7168,-3160.9482421875,train
7168,-1477.102783203125,train
7168,-104.05422973632812,train
7168,-2379.767822265625,train
7168,-2092.306396484375,train
7168,-951.4232177734375,train
7168,-1743.8831787109375,train
7168,-1358.8175048828125,train
7168,-1641.05322265625,train
7168,-1330.7347412109375,train
7168,-1835.0242919921875,train
7360,-2639.9326171875,eval
7360,-2378.00634765625,train
7600,-2378.00634765625,eval
7600,-3472.600341796875,train
7680,-1763.674560546875,train
7680,-1028.9072265625,train
7680,-2353.3330078125,train
7680,-1642.0201416015625,train
7680,-2117.420166015625,train
7680,-1199.8067626953125,train
7680,-1371.923095703125,train
7680,-2115.752685546875,train
7680,-1387.127685546875,train
7680,-1482.063232421875,train
7680,-1314.3515625,train
7680,-1534.3955078125,train
7680,-1797.1544189453125,train
7680,-102.02345275878906,train
7680,-926.2997436523438,train
7680,-1229.5208740234375,train
7680,-1023.942138671875,train
7680,-1580.2230224609375,train
7680,-2315.207275390625,train
7680,-2100.27001953125,train
7680,-1223.47900390625,train
7680,-1743.4832763671875,train
7680,-1856.7989501953125,train
7680,-1871.13037109375,train
7680,-2413.4013671875,train
7680,-1300.055419921875,train
7680,-1434.3060302734375,train
7680,-2805.243896484375,train
7680,-2053.628173828125,train
7680,-873.6748046875,train
7680,-1059.1171875,train
7680,-1640.6651611328125,train
7680,-1785.6513671875,train
7680,-2560.73291015625,train
7680,-2864.88916015625,train
7680,-4501.490234375,train
7680,-1649.478759765625,train
7680,-3138.901123046875,train
7680,-2386.60888671875,train
7680,-1135.4608154296875,train
7840,-2358.100341796875,train
7840,-3472.600341796875,eval
8080,-1067.7164306640625,train
8080,-2358.100341796875,eval
8192,-934.124755859375,train
8192,-1401.4481201171875,train
8192,-2421.711181640625,train
8192,-918.083984375,train
8192,-1557.2391357421875,train
8192,-1549.1746826171875,train
8192,-2077.2548828125,train
8192,-1725.945556640625,train
8192,-1309.9759521484375,train
8192,-2429.266357421875,train
8192,-2872.648193359375,train
8192,-1392.236328125,train
8192,-1384.9085693359375,train
8192,-2130.042724609375,train
8192,-1073.9530029296875,train
8192,-1723.0980224609375,train
8192,-1544.779541015625,train
8192,-1661.17333984375,train
8192,-2063.61181640625,train
8192,-2330.787841796875,train
8192,-1859.5372314453125,train
8192,-207.2079620361328,train
8192,-1495.950927734375,train
8192,-1238.3631591796875,train
8192,-3109.283203125,train
8192,-1903.599365234375,train
8192,-4475.0400390625,train
8192,-2799.45458984375,train
8192,-1654.13037109375,train
8192,-2037.9139404296875,train
8192,-1044.7835693359375,train
8192,-1004.4739990234375,train
8192,-1797.1544189453125,train
8192,-2296.592041015625,train
8192,-1334.1827392578125,train
8192,-1816.8353271484375,train
8192,-1060.0909423828125,train
8192,-2557.404296875,train
8192,-1211.1693115234375,train
8192,-1364.6729736328125,train
8320,-762.396728515625,train
8320,-1067.7164306640625,eval
8560,-762.396728515625,eval
8560,-1792.056396484375,train
8704,-2018.7913818359375,train
8704,-1711.34423828125,train
8704,-1489.7666015625,train
8704,-1088.285400390625,train
8704,-2330.787841796875,train
8704,-2058.448486328125,train
8704,-1654.0076904296875,train
8704,-1829.5374755859375,train
8704,-1959.3370361328125,train
8704,-193.66348266601562,train
8704,-1186.71630859375,train
8704,-4434.1298828125,train
8704,-2880.32177734375,train
8704,-957.6038208007812,train
8704,-2285.37353515625,train
8704,-2447.7431640625,train
8704,-1084.0345458984375,train
